nama_perusahaan,title,lokasi,tipe_pekerjaan,gaji,pendidikan
"OY! Indonesia","Associate Product Manager","Gedung Treasury Tower , Kawasan District 8 LOT 28, SCBD, Jl. Jend. sudirman kav 52-53, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency Car Penempatan Pandaan, Pasuruan","BFI Finance KC Pandaan - Jl. Raya Malang - Gempol No.8, Macanan, Karang Jati, Kec. Pandaan, Pasuruan","Full time",IDR,"Bachelor's Degree"
FIFGROUP,"Internal Auditor","Menara FIF (Head Office)  Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Account Executive VCBL","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
FinAccel,"Android Engineer","Dipo Tower, Jakarta Pusat 10260, Indonesia","Full time",,"Bachelor's Degree"
"Systems Ltd.","Senior Business Development Manager","Jakarta, JABODETABEK, Indonesia","Full time",IDR,"Bachelor's Degree"
Dekoruma,"Designer Manager Medan","Jl. Gatot Subroto No.188 A · 0821-6256-1163",Contractual,,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Social Media Internship","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee Marketing Sulselbar","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Business Development Executive",,"Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Admin Processing  Branch Depok","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Associate's Degree"
"PT BFI Finance Indonesia Tbk","Sales Advisor Front Office Jakarta Utara","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"High School"
"Home Credit Indonesia","IT Internal Audit Specialist","Plaza Oleos, South Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT. Tiki Jalur Nugraha Ekakurir (JNE)",Assesor,,"Full time",IDR,"Bachelor's Degree"
"Siloam Hospitals Group","Product Management Intern","Cipondoh Indah Kel., Cipondoh","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Administration Internship Head Office","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Human Capital Internship Jambi","Lebak bandung, Jelutung","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Surveyor Denpasar","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Associate's Degree"
"PT BFI Finance Indonesia Tbk","Cashier cabang Mojokerto","BFI Finance, Jalan Pahlawan, Mojokerto 61321, Indonesia","Full time",,"Bachelor's Degree"
FinAccel,"Security Analyst","Dipo Tower, Jl. Gatot Subroto No.Kav 50-52, RW.7, Petamburan, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10260","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee Mortgage Specialist Denpasar Bali","Jl. Gatot Subroto Barat No.170X, Padangsambian Kaja, Kec. Denpasar Bar., Kota Denpasar, Bali 80117","Full time",,"Bachelor's Degree"
SKINTIFIC,"KOL Specialist","Kuningan Timur Kel., Setia Budi","Full time",,"Bachelor's Degree"
"PT. Indocyber Global Teknologi",".NET Developer (DM)",,"Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Field Surveyor Jakarta Barat","Jl. Lapangan Bola Jl. Meruya Ilir Raya No.1-1A, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530",Contractual,,"High School"
"PT BFI Finance Indonesia Tbk","Asset Recovery Officer Jabodetabek","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322",Contractual,,"Bachelor's Degree"
"Kompas Gramedia","International Marketing Officer","Jl. Palmerah Barat No.29-37","Full time",,"Bachelor's Degree"
"Siloam Hospitals Group","Product Manager","Cipondoh Indah Kel., Cipondoh","Full time",IDR,"Bachelor's Degree"
Triyakom,"Marketing Staff","Jalan Jenderal Gatot Subroto, Kuningan Barat Kel., Mampang Prapatan","Full time",,"Bachelor's Degree"
"Pura Group","Legal Officer","77, Jalan Kresna, Jati Wetan Kel., Jati","Full time",,"Bachelor's Degree"
"Permata Bank","RM Emerging","DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Professional Program Consultant at Universitas Multimedia Nusantara","Scentia Garden, Jl. Boulevard Gading Serpong. Tangerang","Full time",,"Bachelor's Degree"
"PT Kliring Penjaminan Efek Indonesia (KPEI)","Staf HR Operation","Jalan Jenderal Sudirman, Senayan Kel., Kebayoran Baru","Full time",,"Bachelor's Degree"
"Mitramas Infosys Global","Software Engineer","Jalan Tebet Raya No.42, RT.3/RW.2, East Tebet, South Jakarta City, Jakarta, Indonesia","Full time",IDR,"Bachelor's Degree"
FIFGROUP,"Microfinancing Section Head Development Program Batch 5","Menara FIF (Head Office)  Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440","Full time",,"Bachelor's Degree"
"PT. Adicipta Inovasi Teknologi (AdIns)","Product Owner","Jl. Raya Kb. Jeruk No.80, RT.7/RW.1, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","Full time",IDR,"Bachelor's Degree"
FIFGROUP,"Backend Developer","Menara FIF (Head Office)  Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440","Full time",,
"PT. Indocyber Global Teknologi","Data Engineer (DM)",,"Full time",,"Bachelor's Degree"
"Kompas Gramedia","Lecturer in Visual Communication Design - Universitas Multimedia Nusantara","Kampus Universitas Multimedia Nusantara, Scientia Garden. Jl. Boulevard Gading Serpong Tangerang, Banten","Full time",,"Master's Degree"
"Jaris & K","3D Animator","5, Jalan Cipete Raya, Cipete Selatan Kel., Cilandak","Full time",,"Associate's Degree"
"Astra Credit Companies (ACC)","Area Litigation DKI II","Jalan TB Simatupang Kav. 90. Jakarta Selatan. DKI Jakarta","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Customer Service cabang Mojokerto","BFI Finance, Jalan Pahlawan, Mojokerto 61321, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency (BPKB Mobil) Area Bekasi","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
Algoritma,"Data Science Trainee","Menara Kadin, 5th Floor, Jakarta Selatan 12950, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","OJR Marketing Jawa Tengah dan DIY","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322",Freelance,,"Vocational course"
"commsult Indonesia","Full Stack Developer (Mid to Senior Level)","Lengkong Gudang Kel., Serpong","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Agency Relation Penempatan Sumbawa","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Associate's Degree"
"PT BFI Finance Indonesia Tbk","Agency Relations Penempatan Buleleng","Jalan Ahmad Yani, No.85b, Kaliuntu, Kabupaten Buleleng, Bali","Full time",,"Associate's Degree"
"Aleph Labs","UX Researcher [CONTRACT BASED]","Jalan Gatot Subroto, RT.3/RW.3, Kuningan, East Kuningan, South Jakarta City, Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"Home Credit Indonesia","Risk Management & Compliance Asst. Manager","Plaza Oleos, South Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT. Adicipta Inovasi Teknologi (AdIns)","Strategic Account Manager","Jl. Raya Kb. Jeruk No.80, RT.7/RW.1, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","Full time",IDR,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","IT Business Analyst","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",IDR,"Bachelor's Degree"
FinAccel,"Security Engineer - Red Team","Dipo Tower, Jl. Gatot Subroto No.Kav 50-52, RW.7, Petamburan, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10260","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Learning Technology Internship","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency Pembiayaan Syariah Cabang Kelapa Gading, Jakarta Utara","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
Allvacon,"Relationship Manager","Jalan T. B. Simatupang, Kebagusan Kel., Pasar Minggu","Full time",,"Bachelor's Degree"
"Kompas Gramedia","System Development Senior","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",IDR,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Managament Trainee Credit Analyst Factory Kota Palembang","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency (ARE Car Product)","Jln. Kolonel Burlian No.95, RT.09/RW.03, Bandar Agung, Kec. Lahat, Kabupaten Lahat, Sumatera Selatan 31414","Full time",IDR,"Bachelor's Degree"
"Kompas Gramedia","Lecturer in Management_Universitas Multimedia Nusantara","Scientia Garden, Jl. Boulevard Gading Serpong. Tangerang","Full time",,Doctorate
"Home Credit Indonesia","Desk Collection","Plaza Oleos, South Jakarta, DKI Jakarta, Indonesia","Full time",,"High School"
"EF EFEKTA English for Adults","Service Consultant","30, Jalan M H Thamrin, Gondangdia Kel., Menteng","Full time",IDR,"Bachelor's Degree"
"Kompas Gramedia","Account Executive","Depan Billy Hotel, Jl. Merdeka, Padarni, Kec. Manokwari Bar., Kabupaten Manokwari, Papua Bar.",Contractual,IDR,"Bachelor's Degree"
"Kompas Gramedia","News Video Producer KOMPAS.com (SOLO)",,"Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Technology Branch Support Specialist  Branch Depok","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Business Relationship Executive Branch Bekasi","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Vocational course"
"Mitramas Infosys Global","Business Development","Jalan Tebet Raya No.42, RT.3/RW.2, East Tebet, South Jakarta City, Jakarta, Indonesia","Full time",IDR,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Field Collection Penempatan Kebumen","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",IDR,"High School"
"PT BFI Finance Indonesia Tbk","Front Office Support Penempatan Mataram","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Associate's Degree"
"Kompas Gramedia","IT Infrastructure Engineer at KOMPAS TV","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT. Jasa Teknologi Informasi IBM","SAP HR Consultant","The Plaza OfficeTower, 16th Floor, Jl. M.H.Thamrin Kav. 28-30 Jakarta 10350, RT.9/RW.5, Gondangdia, Jakarta, Central Jakarta","Full time",,"Bachelor's Degree"
"PT Fajar Gelora Inti","Music Shop Sales Assistant","Jalan Mangga Dua Selatan, Mangga Dua Selatan Kel., Sawah Besar","Full time",,"Vocational course"
"PT. Jasa Teknologi Informasi IBM","SAP Group Reporting Consultant",,"Full time",,"Bachelor's Degree"
"PT. Adicipta Inovasi Teknologi (AdIns)","Quality Assurance Automation Engineer","Jl. Raya Kb. Jeruk No.80, RT.7/RW.1, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","Full time",IDR,"Bachelor's Degree"
"PT Panin Dai-Ichi Life (Bancassurance)","Bancassurance Officer (Area: Jakarta Pusat, Jakarta Utara, Jakarta Timur, Jakarta Selatan, Jakarta Barat))","Jalan Letjen S Parman, Kota Bambu Utara Kel., Palmerah","Full time",IDR,"Associate's Degree"
FIFGROUP,"Anti Fraud Management Officer","Menara FIF (Head Office)  Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Field Asset Management Cabang Solo","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Vocational course"
"Pura Group","Sales Executive","77, Jalan Kresna, Jati Wetan Kel., Jati","Full time",,"Associate's Degree"
FinAccel,"3D Illustrator","Dipo Tower, Jl. Gatot Subroto No.Kav 50-52, RW.7, Petamburan, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10260","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Public Relation Officer_Skytar Ventures_Universitas Multimedia Nusantara","Jl. Scientia Boulevard, Curug Sangereng, Kec. Klp. Dua, Kabupaten Tangerang, Banten 15810","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Account Executive/Business Development - Marketspace (Digital Agency)","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Staff Penagihan Kota Palembang",,"Full time",,"Bachelor's Degree"
"Kompas Gramedia","Strategic Marketing Officer Grid Network","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"Permata Bank","Corporate Governance","DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee Marketing Jabodetabek","Ruko Suncity Square, Marga Jaya Kel., Bekasi Selatan, Bekasi Kota, 17141, Indonesia","Full time",IDR,"Bachelor's Degree"
"Jaris & K","Project Engineer Coordinator","5, Jalan Cipete Raya, Cipete Selatan Kel., Cilandak","Full time",,"Bachelor's Degree"
"Permata Bank","Customer Experience Officer (CXO) - Medan",,"Full time",,"Bachelor's Degree"
"Mobius Digital","Java Backend","Perigi Baru Kel., Pondok Aren","Full time",,"Bachelor's Degree"
Renos.id,"Quality Assurance","Jalan Dr Ide Anak Agung Gde Agung, Jakarta 12950, Indonesia","Full time",,"Bachelor's Degree"
"CV.Dorskin Kreasi Indonesia","Brand Leader",,"Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Asset Recovery Car Officer Cabang Bekasi","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT Global Urban Esensial","Business Development Manager","Titan Center Lt. 12 |  Jl. Boulevard Bintaro Blok B7/B1 No. 5 Bintaro Jaya Sektor 7, South Tangerang, Banten, Indonesia","Full time",,"Bachelor's Degree"
KSPS,"Account Receivable","Blok A. 9, Jl. Lb. Bulus I No.12, RT.4/RW.6, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440, Indonesia","Full time",,"Bachelor's Degree"
"VLink Inc","Business Analyst","Office 8 Sudirman Central Business District Suites, Scbd, Jakarta Selatan 12190, Indonesia","Full time",,"Bachelor's Degree"
"Aleph Labs","Android Developer (Contract Based)","Jl. Gatot Subroto, RT.3/RW.3, Kuningan, East Kuningan, South Jakarta City, Jakarta, Indonesia",Contractual,,"Bachelor's Degree"
"Bayan Group","Treasury Staff","Jalan Senopati, Senayan Kel., Kebayoran Baru","Full time",,"Bachelor's Degree"
"PT Teknologi Kuliner Kekinian (Runchise)","Backend Engineer","Green Office Park 9, Jl. BSD Green Office Park Jl. BSD Grand Boulevard, Sampora, Cisauk, Tangerang Regency, Banten 15345","Full time",,"Bachelor's Degree"
"PT Berlian Sistem Informasi","Fullstack Engineer","KTB Annex Building. Jl. Jendral A. Yani Pulomas. Jakarta 13120, East Jakarta, DKI Jakarta, Indonesia","Full time",IDR,"Bachelor's Degree"
Ivosights,"Customer Service English",,"Full time",,"Bachelor's Degree"
"OONA Insurance Indonesia",Bancassurance,"Jalan Jenderal Sudirman, Senayan Kel., Kebayoran Baru","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Library Services Officer at Universitas Multimedia Nusantara","Jl. Scientia Boulevard, Curug Sangereng, Kec. Klp. Dua, Kabupaten Tangerang, Banten 15810","Full time",,"Bachelor's Degree"
FIFGROUP,"Regional Operational Support Officer","Menara FIF (Head Office)  Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440","Full time",,"Bachelor's Degree"
SKINTIFIC,"Content Specialist","Kuningan Timur Kel., Setia Budi",Contractual,,"Bachelor's Degree"
"Nomura Research Institute Indonesia","Scrum Master (SM)","Sahid Sudirman Center, Jl. Jend.Sudirman Kav.86","Full time",IDR,"Bachelor's Degree"
"Group Hijra (Hijra Bank, ALAMI P2PL)","SME | Commercial Financing Relationship Manager","Plaza 89, Jl. H. R. Rasuna Said Kav X7 No.6, RT.6/RW.7, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940","Full time",IDR,"Bachelor's Degree"
Dekoruma,"Design Trainer","Jl. Srengseng Raya No.11a, RT.2/RW.8, Srengseng, West Jakarta City, Jakarta, Indonesia",Contractual,IDR,"Bachelor's Degree"
SKINTIFIC,"Video Editor","Kuningan Timur Kel., Setia Budi",Contractual,,"Bachelor's Degree"
"Permata Bank","BAP Priority Acquisition Specialist (PAS) Jabodetabek","DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"Permata Bank","Mortgage Sales Specialist - Medan",,"Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Field Assset Management Cabang Kolaka","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Store Superintendent Gramedia Aceh","Gramedia, Jalan Panglima Nyak Makam, Kota Baru Kel., Kuta Alam, Banda Aceh, 23125, Indonesia","Full time",,"Bachelor's Degree"
"Home Credit Indonesia","Internal Audit Specialist","Plaza Oleos, South Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"Rakamin Academy","Product Engineer Frontend","Kantorkuu Coworking Dan Office Space Agro, Jalan Yasmin Raya, RT06/RW04, Kuningan Timur Kel., Setia Budi, Jakarta Selatan, 12950, Indonesia","Full time",IDR,"Bachelor's Degree"
"OY! Indonesia","Internal Project Management Supervisor","Gedung Treasury Tower , Kawasan District 8 LOT 28, SCBD, Jl. Jend. sudirman kav 52-53, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia",Contractual,,"Bachelor's Degree"
"Kompas Gramedia","Store Supervisor Gramedia Pekanbaru SKA","Mall SKA Lantai 2F No. 29 - 32 Jl. Soekarno Hatta - Sidomulyo Barat Pekanbaru 28294 - Indonesia (depan, matahari, Sidomulyo Tim., Kec. Marpoyan Damai, Kota Pekanbaru, Riau 28283","Full time",,"Bachelor's Degree"
Algoritma,"Business Development (B2B)","Menara Kadin, 5th Floor, Kuningan Timur Kel., Setia Budi, Jakarta Selatan, 12950, Indonesia","Full time",IDR,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency Car Product Penempatan Kuningan","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",IDR,"High School"
