nama_perusahaan,title,lokasi,tipe_pekerjaan,gaji,pendidikan
"Kompas Gramedia","Store Superintendent Gramedia Mall Kelapa Gading","Gramedia, Jalan Boulevard Barat Raya, RT15/RW08, Kelapa Gading Barat Kel., Kelapa Gading, Jakarta Utara, 14240, Indonesia","Full time",,"Bachelor's Degree"
"AVO Innovation Technology","Commercial Development Region Lead","Jalan Monjali, Sleman, Indonesia","Full time",,"Bachelor's Degree"
Code.id,"Frontend Developer","Jalan Letjen. S. Parman, Tanjung Duren Selatan Kel., Grogol Petamburan","Full time",,"Bachelor's Degree"
Lamudi.co.id,"Field Sales Representative",,"Full time",,"High School"
"PT BFI Finance Indonesia Tbk","Marketing Corporate Executive (MCE) Area Jambi","Jl. Prof. M Yamin SH No. 65 – 66 Rt. 29, Kel. Lebak Bandung, kec. Jelutung, Kota Jambi, Propinsi Jambi","Full time",IDR,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Customer Service cabang Jombang","Bfi Finance, Jombang Kel., Jombang, Jombang, 61415, Indonesia","Full time",,"Bachelor's Degree"
"Kompas Gramedia","GPU - Copy Editor - Non Fiksi","Jl. Palmerah Barat No. 29-37, Jakarta 10270","Full time",,"Bachelor's Degree"
FIFGROUP,"DevSecOps Engineer","Menara FIF (Head Office)  Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440","Full time",,
"Kompas Gramedia","Social Media Officer","Jalan Palmerah Barat 29, RT04/RW02, Gelora Kel., Tanah Abang, Jakarta Pusat, 10270, Indonesia","Full time",,"Bachelor's Degree"
"Kompas Gramedia","HR Learning & Development","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Agency Relationship Executive BFI Cabang Tomohon","Jl. Samratulangi Lingkungan VI, samping Gereja, Matani 3, Tomohon Tengah, Kota Tomohon, Sulawesi Utara","Full time",IDR,"High School"
"Kompas Gramedia","Instructor in Animation_Multimedia Nusantara Polytechnic","Universitas Multimedia Nusantara, Jalan Scientia Boulevard, Curug Sangereng Kel., Kelapa Dua, Tangerang Kabupaten, 15834, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Surveyor cabang Mojokerto","BFI Finance, Jalan Pahlawan, Mojokerto 61321, Indonesia","Full time",,"Bachelor's Degree"
"PT Dipo Star Finance","Digital Marketing (SEO, SEM, GDN Specialist)","8, Jalan Asia Afrika, Gelora Kel., Tanah Abang","Full time",IDR,"Bachelor's Degree"
"Kompas Gramedia","Account Executive","Jl. Prof. Dr. Ida Bagus Mantra No.88A, Ketewel, Kec. Gianyar, Kabupaten Gianyar, Bali 80237",Contractual,IDR,"Bachelor's Degree"
"PT Berlian Sistem Informasi","SOC Service Monitoring","KTB Annex Building. Jl. Jendral A. Yani Pulomas. Jakarta 13120, East Jakarta, DKI Jakarta, Indonesia",Contractual,,"Bachelor's Degree"
"Kompas Gramedia","Head of Program_Skystar Ventures at Universitas Multimedia Nusantara","Scientia Garden, Jl. Boulevard Gading Serpong, Tangerang - Banten","Full time",,"Bachelor's Degree"
"Bank Negara Indonesia","Officer Development Program (ODP) Batch 2024","Grha BNI Building, Jl. Jend. Sudirman Kav. 1, Daerah Khusus Ibu kota Jakarta 10220, Central Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"Astra Credit Companies (ACC)","AR Litigation Area Officer Sumbagut",,"Full time",,"Bachelor's Degree"
FIFGROUP,"Policy and Standardization Officer","Menara FIF (Head Office)  Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Tax Officer at KOMPAS TV","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"Langit Kreasi Solusindo","Account Executive Salesforce","Grand Slipi Tower, Jalan Letjen S Parman, RT01/RW04, Palmerah Kel., Palmerah, Jakarta Barat, 11480, Indonesia",Contractual,,"Bachelor's Degree"
"PT Fajar Gelora Inti","Finance Supervisor","Jalan Mangga Dua Selatan, Mangga Dua Selatan Kel., Sawah Besar","Full time",,"Bachelor's Degree"
"Group Hijra (Hijra Bank, ALAMI P2PL)","Consumer Business Intern","RT01/RW02, Jalan H R Rasuna Said, Karet Kuningan Kel., Setia Budi",Contractual,,"Bachelor's Degree"
"Mall Artha Gading","Project Engineer","Jalan Artha Gading Selatan, Kelapa Gading Barat Kel., Kelapa Gading","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency Car Product Penempatan Cirebon","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",IDR,"High School"
"OONA Insurance Indonesia","Claim Handler Kendaraan Bermotor","Jalan Jenderal Sudirman, Senayan Kel., Kebayoran Baru","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency Grobogan","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Vocational course"
"PT. Adicipta Inovasi Teknologi (AdIns)","Supervisor Application Developer (.Net)","Jl. Raya Kb. Jeruk No.80, RT.7/RW.1, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","Full time",IDR,"Bachelor's Degree"
"Astra Credit Companies (ACC)","Creative Design","Jalan TB Simatupang Kav. 90. Jakarta Selatan. DKI Jakarta","Full time",,"Bachelor's Degree"
"Nomura Research Institute Indonesia","Unity Engineer","Karet Tengsin Kel., Tanah Abang","Full time",IDR,"Bachelor's Degree"
"Siloam Hospitals Group","Cybersecurity Intern","Karawaci, Tangerang Kota, JABODETABEK, Indonesia","Full time",IDR,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Surveyor Penempatan Solo",,"Full time",,"Bachelor's Degree"
"Kompas Gramedia","Account Executive","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"Astra Credit Companies (ACC)","Account Officer Light Vehicle","Jalan TB Simatupang Kav. 90. Jakarta Selatan. DKI Jakarta","Full time",,"Bachelor's Degree"
"OY! Indonesia","Product Manager","Gedung Treasury Tower , Kawasan District 8 LOT 28, SCBD, Jl. Jend. sudirman kav 52-53, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia","Full time",,"Bachelor's Degree"
Nusantics,"Marketing Communication Executive","32, Jalan Suryo, Rawa Barat Kel., Kebayoran Baru","Full time",,"Bachelor's Degree"
FIFGROUP,"Tax Officer","Menara FIF (Head Office)  Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440","Full time",IDR,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Surveyor Kupang",,"Full time",,"Associate's Degree"
"PT IONPay Networks (NICEPAY)","Java Developer","EightyEight@Kota Kasablanka, 29th Floor, Unit A & H  Jl. Casablanca Raya Kav. 88, Tebet, Jakarta Selatan 12870, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency Yogyakarta","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"High School"
"Kompas Gramedia","Account Manager at KG Radio Network","Gedung Perintis, Jalan Kebahagiaan, RT04/RW02, Krukut Kel., Tamansari, Jakarta Barat, 11140, Indonesia",Contractual,,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Organizational Development & Performance Management Specialist","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Admin Processing - Branch Depok","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Associate's Degree"
"PT Digivla Indonesia","Head of Production Media Monitoring","4, Jalan Senopati, Selong Kel., Kebayoran Baru","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Field Collector cabang Banyuwangi","Bfi Finance, Jalan Letjen S Parman, Sumberrejo Kel., Banyuwangi, Banyuwangi, 68419, Indonesia","Full time",,"Associate's Degree"
"Aleph Labs","Back End Golang Developer","Jalan Gatot Subroto, RT.3/RW.3, Kuningan, East Kuningan, South Jakarta City, Jakarta, Indonesia",Contractual,,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Agency Relation Denpasar","555A, Jalan Imam Bonjol, Denpasar 80119, Indonesia","Full time",,"Associate's Degree"
"Jaris & K","Graphic Designer","5, Jalan Cipete Raya, Cipete Selatan Kel., Cilandak","Full time",,"Bachelor's Degree"
MileApp,"UI/UX Designer","Neo Soho, Jalan Letjen S Parman, RT03/RW05, Tanjung Duren Selatan Kel., Grogol Petamburan, Jakarta Barat, 11470, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Relation Executive _ Bogor","Jl. Raya Tajur Raya Tajur No.118 E-F, RT.01/RW.06, Pakuan, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16141","Full time",,"Bachelor's Degree"
FIFGROUP,"Junior Officer Development Program Batch 56","Menara FIF (Head Office)  Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440","Full time",,"Bachelor's Degree"
Alodokter,"Product Manager","No. 2, Jalan Dr.Ide Anak Agung Gde Agung Kav. E 4.2, RT.5/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, Indonesia","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Post Press Operator","Jl. Raya Rancaekek KM 24. 5 Kav. D3 & D5, Rancaekek, Sawahdadap, Kec. Cimanggung, Kabupaten Sumedang, Jawa Barat","Full time",,"Bachelor's Degree"
Dekoruma,"Online Sales Live Streaming E Commerce","Ruko De Mansion Blok A. 10-12 Jl. Jalur Sutera, Kunciran, Pakualam, Kec. Pinang, Kota Tangerang, Banten 15320",Contractual,,"High School"
"PT Panin Dai-Ichi Life (Bancassurance)","Bancassurance Officer (Area: Surabaya, Bojonegoro, Serang, Bandung, Tangerang, Serpong))","Jalan Letjen S Parman, Kota Bambu Utara Kel., Palmerah","Full time",IDR,"Associate's Degree"
"Kompas Gramedia","Guru Komputer daerah Jawa Timur","Kompas Gramedia, Jalan Palmerah Barat, Jakarta 10270, Indonesia",Contractual,,"Bachelor's Degree"
"PT Fajar Gelora Inti","Public or Media Relations","Jalan Mangga Dua Selatan, Mangga Dua Selatan Kel., Sawah Besar","Full time",,"Bachelor's Degree"
"PT Bumi Amartha Teknologi Mandiri","IT Data Center Operator","Jalan Jenderal Sudirman, Karet Kel., Setiabudi","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Human Capital Internship Denpasar","Jalan Gatot Subroto Barat no 170X Denpasar","Full time",,"Bachelor's Degree"
"PT. Adicipta Inovasi Teknologi (AdIns)","Information Technology System Analyst","Jl. Raya Kb. Jeruk No.80, RT.7/RW.1, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","Full time",IDR,"Bachelor's Degree"
"PT Bank Central Asia Tbk","Wealth Management Program (WMP)","Menara BCA, Grand Indonesia Jl. MH Thamrin No. 1, Jakarta 10310","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Store Superintendent Gramedia Central Park","Toko Buku Gramedia - Central Park, Jalan Letjen S Parman, RT09/RW05, Tanjung Duren Selatan Kel., Grogol Petamburan, Jakarta Barat, 11470, Indonesia","Full time",,"Bachelor's Degree"
"PT Bank Central Asia Tbk","Relationship Officer","Central Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"OY! Indonesia","Business Development Specialist","Gedung Treasury Tower , Kawasan District 8 LOT 28, SCBD, Jl. Jend. sudirman kav 52-53, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia",Contractual,,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency Solo","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Vocational course"
"Kompas Gramedia","Discovery Analyst at CHR Kompas Gramedia","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia",Contractual,,"Bachelor's Degree"
"PT Panin Dai-Ichi Life (Bancassurance)","Bancassurance Officer (Area: Banjarmasin, Padang, Bengkulu, Jambi, Medan, Pematang Siantar)","Jalan Letjen S Parman, Kota Bambu Utara Kel., Palmerah",Contractual,IDR,"Bachelor's Degree"
"PT Inti Corpora Teknologi","Human Resource Supervisor","46, Jalan Tanah Abang 2, Petojo Selatan Kel., Gambir","Full time",,"Bachelor's Degree"
"Kompas Gramedia","IT Broadcast Officer at KOMPAS TV","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"Rakamin Academy","Business Development Lead","Karet Tengsin, Tanahabang Jl. K.H. Mas Mansyur No.121 Level 2, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",Contractual,,"Bachelor's Degree"
"Mobius Digital","DevOps Engineer","Jakarta Utara, JABODETABEK, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Customer Relation Executive Area Tangerang","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322",Contractual,,"Bachelor's Degree"
"Kompas Gramedia","Freelance Copy Editor Novel","Jalan Palmerah Barat 29, RT04/RW02, Gelora Kel., Tanah Abang, Jakarta Pusat, 10270, Indonesia","Full time",,"Bachelor's Degree"
Quantyc.ai,".NET Developer",,"Full time",,"Bachelor's Degree"
"Kompas Gramedia","Parttime Associate Human Resource_Universitas Multimedia Nusantara","Jalan Scientia Boulevard Gading, Curug Sangereng, Serpong, Kabupaten Tangerang, Banten 15810","Part time",,"Bachelor's Degree"
"Nomura Research Institute Indonesia","Data Engineer (DE)","Karet Tengsin Kel., Tanah Abang","Full time",IDR,"Bachelor's Degree"
"Kompas Gramedia","Graphic Designer","Jalan Palmerah Barat 29, RT04/RW02, Gelora Kel., Tanah Abang, Jakarta Pusat, 10270, Indonesia","Full time",,"Bachelor's Degree"
"PT. Adicipta Inovasi Teknologi (AdIns)","Applications Developer (.NET)","Jl. Raya Kb. Jeruk No.80, RT.7/RW.1, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","Full time",IDR,"Bachelor's Degree"
"Cetta Online Class","Content Writer ElevaU","Jalan TB Simatupang, Tanjung Barat Kel., Jagakarsa",Freelance,,"Bachelor's Degree"
"Home Credit Indonesia","Telemarketing Associate","Plaza Oleos, South Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
Accenture,"Application Designer","Wisma 46 Kota BNI—18th floor, Jl. Jendral Sudirman Kav. 1, Jakarta, DKI Jakarta 10220","Full time",,"Bachelor's Degree"
"Home Credit Indonesia","Telemarketing Associate","Plaza Oleos, South Jakarta, DKI Jakarta, Indonesia","Full time",IDR,"High School"
Quantyc.ai,"IT Cyber Security Engineer","Jalan Warung Buncit Raya",Contractual,,"Bachelor's Degree"
"Kompas Gramedia","Guru Komputer Jawa Tengah","Jl. Palmerah Barat No. 29-37, Jakarta, 10270 (Gedung Kompas Gramedia, Lt.4)","Full time",,"Bachelor's Degree"
"SMS Perkasa (PT Sumber Makmur Surya Perkasa)","Python Software Engineer","51, Jalan Bkr Pelajar, Ketabang Kel., Genteng","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Elti Solo Branch Marketing Officer","Jl. Samratulangi No.12B, Manahan, Kec. Banjarsari, Jawa Tengah 57139","Full time",,"Bachelor's Degree"
Renos.id,"Fraud Analyst Associate","Kuningan Timur Kel., Setiabudi","Full time",IDR,"Bachelor's Degree"
"Great Giant Foods","IT System Support Staff",,"Full time",,"Bachelor's Degree"
"Howel and Co","Content Creator","Jembatan Besi Kel., Tambora","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Creative Designer & Content Creator","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency  Motorcycle Branch Bekasi 5 Cibubur","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322",Contractual,,"Bachelor's Degree"
Nusantics,"QA & QC Lab Ops Lead","32, Jalan Suryo, Rawa Barat Kel., Kebayoran Baru","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Business and Credit Data Analytic","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"Great Giant Foods","Bank Relation Junior Specialist","Jalan Jenderal Sudirman, Bendungan Hilir Kel., Tanah Abang","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency (BPKB Motor) Area Bekasi","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT Bumi Amartha Teknologi Mandiri","Backend Developer","Jalan Jenderal Sudirman, Karet Kel., Setiabudi",Contractual,,"Bachelor's Degree"
"PT IONPay Networks (NICEPAY)","DevOps Engineer","EightyEight@Kota Kasablanka, 29th Floor, Unit A & H  Jl. Casablanca Raya Kav. 88, Tebet, Jakarta Selatan 12870, Indonesia","Full time",,"Bachelor's Degree"
"Mall Artha Gading","Supervisor Event","Jalan Artha Gading Selatan, Kelapa Gading Barat Kel., Kelapa Gading","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Event Conceptor at Harian Kompas","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia",Contractual,,"Bachelor's Degree"
"AVO Innovation Technology","Key Account Manager Offline Store","Jalan Monjali, Sinduadi, Mlati, Sleman","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Credit Analyst Branch Bekasi 5","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322",Contractual,,"Bachelor's Degree"
"PT Bumi Amartha Teknologi Mandiri","IT Quality Assurance","Jalan Jenderal Sudirman, Karet Kel., Setiabudi",Contractual,,"Bachelor's Degree"
"PT. Bank BCA Syariah","Account Officer (JKT, SMG, JOG, Solo, SBY, Medan, Palembang, Lampung, Banda Aceh, Panakkukang)","72, Jalan Jatinegara Timur, Bali Mester Kel., Jatinegara","Full time",,"Bachelor's Degree"
"Kompas Gramedia",Printer,"Jl. Raya Rancaekek KM 24. 5 Kav. D3 & D5, Rancaekek, Sawahdadap, Kec. Cimanggung, Kabupaten Sumedang, Jawa Barat","Full time",,"Bachelor's Degree"
"Wistkey Technologies Limited","Senior Software Developer",,"Full time",USD,"Bachelor's Degree"
"Kompas Gramedia","Account Executive Regional KompasTV",,"Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Executive Branch Depok","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Associate's Degree"
"PT Kliring Penjaminan Efek Indonesia (KPEI)","Sekretaris Direksi","Jalan Jenderal Sudirman, Senayan Kel., Kebayoran Baru","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Admin Magang Penempatan Lombok Barat","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Associate's Degree"
"Bussan Auto Finance","Branch Head Dana Tunai","Jl. Tj. Barat Raya No.121, RT.14/RW.04, Kel, RT.8/RW.4, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530, Indonesia","Full time",,"Bachelor's Degree"
"AVO Innovation Technology","Key Account Executive General Trade","Jalan Monjali, Sleman, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency (Car and Motorcycle Product) Penempatan Purwokerto Kab. Banyumas","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",IDR,"High School"
"Kompas Gramedia","Strategic Creative Marketing Officer at KOMPAS TV","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency (Pasar Minggu & Kalibata)","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322",Contractual,,"Bachelor's Degree"
