nama_perusahaan,title,lokasi,tipe_pekerjaan,gaji,pendidikan
"Kompas Gramedia","Guru Komputer Jakarta","Jl. Palmerah Barat No. 29-37, Jakarta, 10270 (Gedung Kompas Gramedia, Lt.4)","Full time",,"Bachelor's Degree"
"Mitramas Infosys Global","Associate Product Manager","Jalan Tebet Raya No.42, RT.3/RW.2, East Tebet, South Jakarta City, Jakarta, Indonesia","Full time",IDR,"Bachelor's Degree"
"Nomura Research Institute Indonesia","Professional Product Owner (PO)","Karet Tengsin Kel., Tanah Abang","Full time",IDR,"Bachelor's Degree"
Dekoruma,"Drafter Interior Residential Surabaya","Jl. Mayjen HR. Muhammad No.96, Pradahkalikendal, Kec. Dukuhpakis, Surabaya, Jawa Timur 60226",Contractual,,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency Surabaya Sukomanunggal","Jl. Pattimura No.14, RT.06/RW.06, Sonokwijenan, Kec. Sukomanunggal, Surabaya, Jawa Timur 60189","Full time",,"Bachelor's Degree"
Alodokter,"Junior Data Engineer","No. 2, Jalan Dr.Ide Anak Agung Gde Agung Kav. E 4.2, RT.5/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency (Galaxy & Harapan Indah)","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency (Car and Motorcycle Product) Penempatan Kebumen","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",IDR,"High School"
"PT Bumi Amartha Teknologi Mandiri","Project Manager","Jalan Jenderal Sudirman, Karet Kel., Setiabudi","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Central Operation Leader","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Data Scientist KG Media","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia",Contractual,,"Bachelor's Degree"
"Kompas Gramedia","Lecturer in Informatics - Universitas Multimedia Nusantara","Scientia Garden, Jl. Boulevard Gading Serpong. Tangerang","Full time",,Doctorate
"Kompas Gramedia","Business Development Executive","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Centralized Processing Team Leader","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"Aleph Labs","iOS Developer","Jl. Gatot Subroto, RT.3/RW.3, Kuningan, East Kuningan, South Jakarta City, Jakarta, Indonesia",Contractual,,"Bachelor's Degree"
"Kompas Gramedia","Marketing Creative Planne","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
Dekoruma,"Drafter Interior Residential Jakarta","Jl. Jend. Sudirman No.1078, Sungai Pangeran, Kec. Ilir Tim. I, Kota Palembang, Sumatera Selatan 30121",Contractual,,"Bachelor's Degree"
"Aleph Labs","UI/UX Designer (Contract Based)","Jalan Jenderal Gatot Subroto, Karet Semanggi Kel., Setiabudi",Contractual,,"Bachelor's Degree"
SKINTIFIC,"Host Live Streaming","Jalan Dr Ide Anak Agung Gde Agung, Kuningan Timur Kel., Setiabudi",Contractual,,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency ARE Area Tangerang","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322",Contractual,,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Agency Relationship Executive BFI Cabang Bitung","Jl. Wolter Monginsidi No.45, Kel. Girian Bawah, Kec. Girian, Kota Bitung","Full time",IDR,"High School"
"Kompas Gramedia","Account Executive KG Media","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"Siloam Hospitals Group","IT Operation Support Staff","Cipondoh Indah Kel., Cipondoh",Contractual,IDR,"Bachelor's Degree"
FIFGROUP,"Junior Officer Development Program","Menara FIF (Head Office)  Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee Credit Analyst Alat Berat dan Machinery","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT Bumi Amartha Teknologi Mandiri","IT Business Analyst","Jalan Jenderal Sudirman, Karet Kel., Setiabudi","Full time",,"Bachelor's Degree"
FinAccel,"Software Engineer, Data","Dipo Tower, Jl. Gatot Subroto No.Kav 50-52, RW.7, Petamburan, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10260","Full time",,"Bachelor's Degree"
"Magna Solusi Indonesia","Account Executive","88, Jalan Casablanca, Menteng Dalam Kel., Tebet","Full time",IDR,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee Marketing Kota Palembang","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Field Collection Penempatan Banjarnegara","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",IDR,"High School"
"Kompas Gramedia","Retail Channel & Distribution Superintendent","Jalan Palmerah Barat 29, RT04/RW02, Gelora Kel., Tanah Abang, Jakarta Pusat, 10270, Indonesia","Full time",,"Bachelor's Degree"
"PT. Tiki Jalur Nugraha Ekakurir (JNE)",Telesales,,"Full time",,"Associate's Degree"
"SMS Perkasa (PT Sumber Makmur Surya Perkasa)","Warehouse Coordinator","Jalan Palem Manis Raya, Gandasari Kel., Jati Uwung, Tangerang Kota, 15137, Indonesia","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Internal Auditor [Corporate Comptroller]","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Field Collection Motorcycle Penempatan Indramayu","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",IDR,"High School"
"Home Credit Indonesia","Finance Business Partner","Plaza Oleos, South Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT Global Urban Esensial","Freelance QC GoApotik","Titan Center Lt. 12 |  Jl. Boulevard Bintaro Blok B7/B1 No. 5 Bintaro Jaya Sektor 7, South Tangerang, Banten, Indonesia",Freelance,,"Bachelor's Degree"
"PT. Bank BCA Syariah","Full Stack Developer","72, Jalan Jatinegara Timur, Bali Mester Kel., Jatinegara","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Principal Backend Engineer","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
Code.id,".Net Developer","Jalan Letjen. S. Parman, Tanjung Duren Selatan Kel., Grogol Petamburan","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee Marketing","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Agency Relationship Executive Car Surabaya","Jl. Ngagel Jaya No.39, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60282","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Fulltime Lecturer in Architecture_Universitas Multimedia Nusantara","Scientia Garden, Jl. Boulevard Gading Serpong. Tangerang","Full time",,"Master's Degree"
"Magna Solusi Indonesia","Full Stack Developer","88, Jalan Casablanca, Menteng Dalam Kel., Tebet","Full time",IDR,"Associate's Degree"
"Nomura Research Institute Indonesia","Backend Engineer (Node.js)","Sahid Sudirman Center, Jl. Jend. Sudirman Kav 86","Full time",IDR,"Bachelor's Degree"
"PT Kliring Penjaminan Efek Indonesia (KPEI)","Staf Unit Pengembangan Sistem Bisnis","Gedung Bursa Efek Indonesia Tower I Lantai 5 Jln. Jenderal Sudirman kavling 52-53 Jakarta 12190, Indonesia","Full time",,"Bachelor's Degree"
"PT Global Urban Esensial","Senior Account & Partnership","Titan Center Lt. 12 |  Jl. Boulevard Bintaro Blok B7/B1 No. 5 Bintaro Jaya Sektor 7, South Tangerang, Banten, Indonesia","Full time",,"Bachelor's Degree"
"Astra Credit Companies (ACC)","SEO Writer Internship","Jl. Pringgodani No.1A, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Guru Komputer","Jl. Palmerah Barat No. 29-37, Jakarta, 10270 (Gedung Kompas Gramedia, Lt.4)",Contractual,,"Bachelor's Degree"
"PT Bumi Amartha Teknologi Mandiri","DevOps Engineer","Chase Plaza, Jalan Jenderal Sudirman, Jakarta Selatan 12920, Indonesia",Contractual,,"Bachelor's Degree"
"Kompas Gramedia","Business Development MCN","Jl. Palmerah Sel. No.21, RT.4/RW.2, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270","Full time",,"Bachelor's Degree"
"EF EFEKTA English for Adults","Corporate Account Executive","30, Jalan M H Thamrin, Gondangdia Kel., Menteng","Full time",,"Bachelor's Degree"
Dekoruma,"Dekoruma Designer Bali",,Contractual,,"Bachelor's Degree"
FIFGROUP,"IT Project Management Officer","Menara FIF (Head Office)  Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440","Full time",,"Bachelor's Degree"
FIFGROUP,"Head of Legal and Compliance","Menara Astra  Jl. Jenderal Sudirman No.Kav.5-6, RT.10/RW.6, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220","Full time",,
"Kompas Gramedia","Pricing Officer","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
Dekoruma,"Merchandising Officer","Jl. Srengseng Raya No.11a, RT.2/RW.8, Srengseng, West Jakarta City, Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT Bank Central Asia Tbk","Management Development Program (MDP)","Central Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Credit Marketing Syariah Penempatan Cabang Mataram","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
Dekoruma,"B2B Sales Executive","Jl. Srengseng Raya No.11a, RT.2/RW.8, Srengseng, West Jakarta City, Jakarta, Indonesia",Contractual,,"Bachelor's Degree"
"Kompas Gramedia","Elex Fiction Book Designer","Jalan Palmerah Barat, Palmerah Kel., Palmerah, Jakarta Barat, 11480, Indonesia","Full time",,"Bachelor's Degree"
Nusantics,"Area Sales Representative",,"Full time",,"Bachelor's Degree"
"Kompas Gramedia","Sales Manager Placement: Kebun Raya Bogor","Bogor Botanical Gardens, Jalan Ir H Juanda, Bogor Kota 16122, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Admin Magang Sunter","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Field Collector cabang Mojokerto","BFI Finance, Jalan Pahlawan, Mojokerto 61321, Indonesia","Full time",,"Associate's Degree"
"Kompas Gramedia","Maintenance Technician","Delta Silicon industrial Park, Jl. Angsana Raya No.1 Blok A2, Sukaresmi, Lippo Cikarang, Kabupaten Bekasi, Jawa Barat 17550",Contractual,,"Bachelor's Degree"
Alodokter,"Product Designer Lead","No. 2, Jalan Dr.Ide Anak Agung Gde Agung Kav. E 4.2, RT.5/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, Indonesia","Full time",,"Bachelor's Degree"
"EF EFEKTA English for Adults","Telesales Consultant","30, Jalan M H Thamrin, Gondangdia Kel., Menteng","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Field Collection Penempatan Pekalongan","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,
"PT BFI Finance Indonesia Tbk","Marketing Agency (Car and Motorcycle Product) Penempatan Banjarnegara","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",IDR,"High School"
"PT BFI Finance Indonesia Tbk","Supervisor Marketing Branch Pasar Minggu","Pasar Minggu, Jalan Pasar Minggu Raya, RT12/RW07, Pejaten Timur Kel., Pasar Minggu, Jakarta Selatan, 12510, Indonesia","Full time",IDR,"Bachelor's Degree"
Alodokter,"Graphic Designer","No. 2, Jalan Dr.Ide Anak Agung Gde Agung Kav. E 4.2, RT.5/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, Indonesia",Contractual,,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Collector Penempatan Buleleng","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Program Officer_Skystar Ventures at Universitas Multimedia Nusantara","Scientia Garden, Jl. Boulevard Gading Serpong, Tangerang - Banten","Full time",,"Bachelor's Degree"
"AVO Innovation Technology","Store Merchandiser","Jalan Monjali, Sleman 55581, Indonesia","Full time",,"Bachelor's Degree"
"PT. Bank BCA Syariah","Business Development","72, Jalan Jatinegara Timur, Bali Mester Kel., Jatinegara","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Merchant Acquition Ecommerce (Tiktok Shop, Shopee, Tokopedia, Webcommerce)","Jalan Palmerah Barat 22, Palmerah Kel., Palmerah, Jakarta, 11480, Indonesia","Full time",,"Bachelor's Degree"
"PT. Indocyber Global Teknologi","QA Automation Pakuwon Tower","Pakuwon Tower - Jl Casablanca Raya Kav.88, RT.7/RW.6, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Store Superintendent Gramedia Makassar","Mall Ratu Indah, Jalan Dr Sam Ratulangi, Mario Kel., Mariso, Makassar, 90125, Indonesia","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Sr. Media Planner VCBL","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
NEXA,"Marketing Communication Manager","Jalan Jangli Dalam, Jatingaleh Kel., Candisari","Full time",IDR,"Bachelor's Degree"
"PT. Jasa Teknologi Informasi IBM","SAP Analytics Cloud (SAC) Consultant","The Plaza OfficeTower, 16th Floor, Jl. M.H.Thamrin Kav. 28-30 Jakarta 10350, RT.9/RW.5, Gondangdia, Jakarta, Central Jakarta","Full time",,"Bachelor's Degree"
AIMSIS,"Business Development Lead","Rukan Taman Meruya Ilir N-42","Full time",,"Bachelor's Degree"
"Mobius Digital","QA Automation","Perigi Baru Kel., Pondok Aren","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency  Depok, Jakarta Selatan, Parung, Ciputat","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322",Contractual,,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Agency Relation Penempatan Tabanan","Jl. Dr. Ir. Soekarno, No.88X, Banjar Anyar, Kec. Kediri, Kabupaten Tabanan, Bali","Full time",,"Associate's Degree"
FinAccel,"Backend Engineer","Dipo Tower, Jakarta Pusat 10260, Indonesia","Full time",,"Bachelor's Degree"
"Nomura Research Institute Indonesia","Machine Learning Engineer (MLE)","Sahid Sudirman Center, Jl.Jend.Sudirman Kav.86","Full time",IDR,"Bachelor's Degree"
"Kompas Gramedia","Master Control Room Officer at KOMPAS TV","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"commsult Indonesia","Software Development Manager for Project","Lengkong Gudang Kel., Serpong","Full time",IDR,"Bachelor's Degree"
"Cetta Online Class","Content Creator Aixue Mandarin","Jalan TB Simatupang, Tanjung Barat Kel., Jagakarsa",Freelance,,"Bachelor's Degree"
"PT Teknologi Kuliner Kekinian (Runchise)","UI/UX Designer",,"Full time",,"Bachelor's Degree"
"Kompas Gramedia","Marketing Communication & Event Specialist",,Contractual,,"Bachelor's Degree"
Dekoruma,"Project Manager site Residential","Jl. Srengseng Raya No.11a, RT.2/RW.8, Srengseng, West Jakarta City, Jakarta, Indonesia",Contractual,,"Associate's Degree"
Itsavirus,"Front End Developer","Jalan Raya Babakan Canggu, Badung 80365, Indonesia","Full time",IDR,"Bachelor's Degree"
Allvacon,"Supervisor Collection","Jalan T. B. Simatupang, Kebagusan Kel., Pasar Minggu","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Customer Relation atau Marketing RO  Kota Jambi",,"Full time",,"Bachelor's Degree"
"Nomura Research Institute Indonesia","DevOps Engineer","MidPlaza 2, 7F Jl. Jend. Sudirman Kav. 10-11 Jakarta 10220, Indonesia, Central Jakarta, DKI Jakarta, Indonesia","Full time",IDR,"Associate's Degree"
"PT BFI Finance Indonesia Tbk","Credit Marketing Syariah Surabaya","Jl. Ngagel Jaya No.39, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60282","Full time",,"Bachelor's Degree"
"Kompas Gramedia","BUYER (Merchandising & Distribution Division)","Jalan Palmerah Barat 29, RT04/RW02, Gelora Kel., Tanah Abang, Jakarta Pusat, 10270, Indonesia","Full time",,"Bachelor's Degree"
"Permata Bank","Trainee BAP Internal Audit",Bintaro,"Full time",,"Bachelor's Degree"
"Kompas Gramedia","Business Development Executive",,"Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Showroom cabang Mojokerto","Bfi Finance Indonesia Tbk. PT, Jalan Pahlawan, Kranggan Kel., Kranggan, Mojokerto, 61321, Indonesia","Full time",IDR,"Associate's Degree"
Alodokter,"Full Stack Developer","No. 2, Jalan Dr.Ide Anak Agung Gde Agung Kav. E 4.2, RT.5/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Surveyor Car","Jln. Kolonel Burlian No.95, RT.09/RW.03, Bandar Agung, Kec. Lahat, Kabupaten Lahat, Sumatera Selatan 31414","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Field Collector cabang Jombang","Bfi Finance, Jalan KH Wahid Hasyim, Jombang 61415, Indonesia","Full time",,"Associate's Degree"
"PT Digivla Indonesia","Back End Developer","4, Jalan Senopati, Selong Kel., Kebayoran Baru","Full time",IDR,"Bachelor's Degree"
"Bank Muamalat","Relationship Manager Consumer","24, Jalan Prof. Dr. Satrio, Karet Kuningan Kel., Setiabudi","Full time",,"Associate's Degree"
"Kompas Gramedia","Research Assistant_Multimedia Digital Nusantara","Jalan Scientia Boulevard Gading, Curug Sangereng, Serpong, Kabupaten Tangerang, Banten 15810","Full time",,"Bachelor's Degree"
"PT Global Urban Esensial","Telesales GPOS",,Freelance,,"High School"
"PT. Adicipta Inovasi Teknologi (AdIns)","Cyber Security Engineer","Jl. Raya Kb. Jeruk No.80, RT.7/RW.1, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","Full time",IDR,"Bachelor's Degree"
"Rakamin Academy","Product Growth Operations","Kantorkuu Coworking and Office Space, H R Rasuna Said, Kuningan Timur Kel., Setia Budi, Jakarta Selatan, 12950, Indonesia","Full time",,"Bachelor's Degree"
"PT. Adicipta Inovasi Teknologi (AdIns)","System Analyst","Jl. Raya Kb. Jeruk No.80, RT.7/RW.1, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","Full time",IDR,"Bachelor's Degree"
"Kompas Gramedia","Store Supervisor Gramedia Palembang Burlian","Jl. Kolonel H. Barlian KM. 7 No.48, Suka Bangun, Kec. Sukarami, Kota Palembang, Sumatera Selatan 30151","Full time",,"Bachelor's Degree"
Allvacon,"Delivery Management","Jalan T. B. Simatupang, Kebagusan Kel., Pasar Minggu","Full time",,"Bachelor's Degree"
FIFGROUP,"FUTURE DIGITAL (Management Trainee IT)","Menara FIF (Head Office)  Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440","Full time",IDR,"Bachelor's Degree"
