pt,title,lokasi,gaji,level,pendidikan,tipePekerjaan,url,posteDate
"SANJAYA THANRY BAHTERA","Staff Finance Accounting","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-finance-accounting-sanjaya-thanry-bahtera-jakarta-utara.html,"Updated:  April 27, 2024"
"PT. LMT LOGISTICS","Marketing Officer","Jakarta Timur",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/komunikasi-pemasaran/marketing-officer-pt-lmt-logistics-jakarta-timur.html,"Posted Date: April 22, 2024"
"Confidential Company",Cook,"DKI Jakarta",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/restaurant/koki/cook-confidential-company-dki-jakarta.html,"Updated:  April 19, 2024"
"PT. Tiga Pilar Familia","Warehouse Staff","Jakarta Utara","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/warehouse/warehouse-staff-pt-tiga-pilar-familia-jakarta-utara.html,"Posted Date: April 5, 2024"
"PT Sari Kreasi Boga, Tbk","Staff IT Support","Jakarta Barat","Rp.1 - 2 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/information-technology/help-desk-it-support/staff-it-support-pt-sari-kreasi-boga-tbk-jakarta-barat.html,"Posted Date: April 3, 2024"
"Marietta Beauty Bar","Staff Nail Art","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/kecantikan/staff-nail-art-marietta-beauty-bar-jakarta-barat.html,"Updated:  Januari 26, 2024"
"PT. PELITA NIAGA SEJAHTERA","Staff Purchasing","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/transportation-logistics/purchasing-pembelian/staff-purchasing-pt-pelita-niaga-sejahtera-jakarta-barat.html,"Posted Date: April 29, 2024"
"PT Sentra Brosis Indojaya","Staff Admin Gudang","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/transportation-logistics/warehouse/staff-admin-gudang-pt-sentra-brosis-indojaya-jakarta-pusat-5.html,"Posted Date: April 27, 2024"
"Mojiyama Florist","Staff Pramuniaga Toko","Jakarta Barat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/ritel/asisten-ritel/staff-pramuniaga-toko-mojiyama-florist-jakarta-barat.html,"Updated:  April 29, 2024"
"Mojiyama Florist","Staff Warehouse","Jakarta Barat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/warehouse/staff-warehouse-mojiyama-florist-jakarta-barat.html,"Updated:  April 29, 2024"
"PT. RAJAWALI LINTAS SAMUDERA","Sales Representative EMKL","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/akun-dan-relasi/sales-representative-emkl-pt-rajawali-lintas-samudera-jakarta-utara.html,"Posted Date: April 25, 2024"
"Jatiluhur Glass",Administrasi,"Jakarta Utara","Rp.1 - 2 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/administrasi-jatiluhur-glass-jakarta-utara.html,"Posted Date: April 25, 2024"
"Amaranggana Batik","Digital Marketing","Jakarta Selatan",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/pemasaran-digital/digital-marketing-amaranggana-batik-jakarta-selatan.html,"Posted Date: April 25, 2024"
"Kidsworld Play and Learn","Staff Kurir / Driver Motor","Jakarta Pusat","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM",Freelance,https://www.loker.id/transportation-logistics/kurir/staff-kurir-driver-motor-kidsworld-play-and-learn-jakarta-pusat.html,"Posted Date: April 25, 2024"
"PT TOTAL SOLUSINDO MESIN","Sales Executive","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/penjualan/konsultan-penjualan/sales-executive-pt-total-solusindo-mesin-jakarta-barat.html,"Posted Date: April 25, 2024"
"PT INTINUSA MITRA SUKSES","Staff Administrasi","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/staff-administrasi-pt-intinusa-mitra-sukses-jakarta-utara.html,"Posted Date: April 25, 2024"
"Platinum Digital Printing","Sales Admin Staff","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/administrasi-penjualan/sales-admin-staff-platinum-digital-printing-jakarta-pusat-3.html,"Posted Date: April 25, 2024"
"Platinum Digital Printing","Kurir Staff","Jakarta Pusat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/kurir/kurir-staff-platinum-digital-printing-jakarta-pusat.html,"Posted Date: April 25, 2024"
"PT. Maxindo Mitra Solusi","Finance Staff","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/finance-staff-pt-maxindo-mitra-solusi-jakarta-barat.html,"Posted Date: April 24, 2024"
"PT.METRO FAVORIT CITRAABADI","Staff Accounting","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-accounting-pt-metro-favorit-citraabadi-jakarta-barat.html,"Posted Date: April 24, 2024"
"KOPERASI NUSA RAYA CIPTA","Staff Admin","Jakarta Utara","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-admin-koperasi-nusa-raya-cipta-jakarta-utara.html,"Updated:  April 25, 2024"
"PT SUARA AGUNG","Staff Administrasi","Jakarta Timur",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-administrasi-pt-suara-agung-jakarta-timur.html,"Posted Date: April 24, 2024"
"PT Indogear Transmisi Sistem","Admin Staff","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/admin-staff-pt-indogear-transmisi-sistem-jakarta-barat-11.html,"Posted Date: April 24, 2024"
"PT SUARA AGUNG","Marketing Excecutive","Jakarta Timur",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/komunikasi-pemasaran/marketing-excecutive-pt-suara-agung-jakarta-timur.html,"Posted Date: April 24, 2024"
"PT Blackwater Indonesia",TeleMarketing,"Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/telemarketing-telesales/telemarketing-pt-blackwater-indonesia-jakarta-utara.html,"Posted Date: April 24, 2024"
"Deta Yamaha Group","Staff Admin","Jakarta Pusat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/staff-admin-deta-yamaha-group-jakarta-pusat-2.html,"Posted Date: April 23, 2024"
"Kantor Konsultan S. Hanah, S.E.",Administrasi,"Jakarta Pusat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/administrasi-kantor-konsultan-s-hanah-s-e-jakarta-pusat.html,"Posted Date: April 23, 2024"
"PT. Sarana Multi Intermoda","Staff Admin Monitoring","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/transportation-logistics/logistik/staff-admin-monitoring-pt-sarana-multi-intermoda-jakarta-utara.html,"Posted Date: April 23, 2024"
"PT Awaliyah Bouraq Indonesia","Staff Marketing","Jakarta Selatan",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/komunikasi-pemasaran/staff-marketing-pt-awaliyah-bouraq-indonesia-jakarta-selatan.html,"Posted Date: April 23, 2024"
"PT Prioritas Confex Indonesia","Staff Administrasi Accounting","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/administrasi/staff-administrasi-accounting-pt-prioritas-confex-indonesia-jakarta-barat.html,"Posted Date: April 23, 2024"
"Grasberg Emas Star","Accounting Staff","Jakarta Timur","Rp.6 – 7 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/accounting-staff-grasberg-emas-star-jakarta-timur.html,"Posted Date: April 23, 2024"
Lalulaku,"Staff Packing","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/packing/staff-packing-lalulaku-jakarta-barat.html,"Posted Date: April 23, 2024"
Lalulaku,"Staff Administrasi Kantor","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-administrasi-kantor-lalulaku-jakarta-barat.html,"Posted Date: April 23, 2024"
"PT ROYAL WESTINDO GLOBAL","Finance Staff","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/finance-staff-pt-royal-westindo-global-jakarta-barat.html,"Posted Date: April 23, 2024"
"PT SALAM SEHAT INDONESIA","Staff Commercial","Jakarta Selatan","Rp.2 – 3 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/public-relation-humas/staff-commercial-pt-salam-sehat-indonesia-jakarta-selatan.html,"Posted Date: April 23, 2024"
"PT CHANDRA ANUGRAH GEMILANG","Staff Packer","Jakarta Utara","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/packing/staff-packer-pt-chandra-anugrah-gemilang-jakarta-utara.html,"Posted Date: April 23, 2024"
"CV Kencana Buana Prima","Staff Accounting","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-accounting-cv-kencana-buana-prima-jakarta-utara.html,"Posted Date: April 23, 2024"
"Uola Prima Sejahtera, PT","Staff Admin","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-admin-uola-prima-sejahtera-pt-jakarta-barat.html,"Posted Date: April 22, 2024"
"Widjaja Sukses Karya","Staff Purchasing","Jakarta Barat","Rp.2 – 3 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/transportation-logistics/purchasing-pembelian/staff-purchasing-widjaja-sukses-karya-jakarta-barat.html,"Posted Date: April 22, 2024"
"LJ Hooker Tomang","Staff Admin","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-admin-lj-hooker-tomang-jakarta-barat.html,"Posted Date: April 22, 2024"
"CV Kencana Buana Prima","Staff Marketing","Jakarta Timur","Rp.2 – 3 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/ritel/asisten-ritel/staff-marketing-cv-kencana-buana-prima-jakarta-timur.html,"Posted Date: April 20, 2024"
"PT. SOLUSI INDO RAYA","Staff Barista","Jakarta Selatan","Rp.1 - 2 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/restaurant/barista/staff-barista-pt-solusi-indo-raya-jakarta-selatan.html,"Posted Date: April 20, 2024"
"PT HAFA KREATIF INDUSTRI","Inventory Purchasing","Jakarta Selatan",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/transportation-logistics/ppic/inventory-purchasing-pt-hafa-kreatif-industri-jakarta-selatan.html,"Posted Date: April 19, 2024"
"Pt bahana samudra kreasindo","Staff Marketing","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/pemasaran/komunikasi-pemasaran/staff-marketing-pt-bahana-samudra-kreasindo-jakarta-utara-3.html,"Posted Date: April 19, 2024"
"PT. SURYA KREASI PRATAMA","Staff Kurir","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/transportation-logistics/kurir/staff-kurir-pt-surya-kreasi-pratama-jakarta-barat.html,"Posted Date: April 19, 2024"
"CV GLOBAL MEGAH LAKSANA","Pramuniaga Toko","Jakarta Pusat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/ritel/asisten-ritel/pramuniaga-toko-cv-global-megah-laksana-jakarta-pusat.html,"Posted Date: April 19, 2024"
"CV GLOBAL MEGAH LAKSANA","Admin Online Shop","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/penjualan/e-commerce/admin-online-shop-cv-global-megah-laksana-jakarta-barat.html,"Posted Date: April 19, 2024"
"CV GLOBAL MEGAH LAKSANA","Staff Accounting","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-accounting-cv-global-megah-laksana-jakarta-barat.html,"Posted Date: April 19, 2024"
"Penta Powerindo Perkasa","Staff Admin Accounting","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-admin-accounting-penta-powerindo-perkasa-jakarta-barat.html,"Posted Date: April 19, 2024"
"Penta Powerindo Perkasa","Quantity Surveyor","Jakarta Barat","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/konstruksi-dan-bangunan/quantity-surveyor/quantity-surveyor-penta-powerindo-perkasa-jakarta-barat.html,"Posted Date: April 19, 2024"
Bing-Electronic,"Staff Gudang","Jakarta Pusat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/warehouse/staff-gudang-bing-electronic-jakarta-pusat.html,"Posted Date: April 19, 2024"
"Saint Nicholas School PIK",Supir,"Jakarta Utara",Negosiasi,"Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/transportation-logistics/driver/supir-saint-nicholas-school-pik-jakarta-utara.html,"Posted Date: April 18, 2024"
"PT. Djajadiningrat Kencana Abadi","Cook Helper – Indonesian Food","Jakarta Barat","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/restaurant/koki/cook-helper-indonesian-food-pt-djajadiningrat-kencana-abadi-jakarta-barat.html,"Posted Date: April 18, 2024"
"Anugerah selaras globalindo","Staff Administrasi","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/staff-administrasi-anugerah-selaras-globalindo-jakarta-barat.html,"Posted Date: April 17, 2024"
"PT. HULO BATU MUSIK","Content Creator","Jakarta Barat","Rp.1 - 2 Juta","Junior / Entry Level","SMA / SMK / STM",Magang,https://www.loker.id/pemasaran/pemasaran-digital/content-creator-pt-hulo-batu-musik-jakarta-barat.html,"Posted Date: April 17, 2024"
"PT ELUX TECHNOLOGY INTERNATIONAL",Sales,"Jakarta Utara","Rp.5 – 6 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/ritel/asisten-ritel/sales-pt-elux-technology-international-jakarta-utara.html,"Posted Date: April 17, 2024"
"OMG Pasta","Cook Helper/Chef Assistant","Jakarta Pusat","Rp.2 – 3 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/restaurant/koki/cook-helper-chef-assistant-omg-pasta-jakarta-pusat.html,"Posted Date: April 17, 2024"
"Tite Gift","Operator Mesin Cetak","Jakarta Utara",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/pabrik-dan-manufaktur/operator-mesin/operator-mesin-cetak-tite-gift-jakarta-utara.html,"Posted Date: April 17, 2024"
"PT DIAMOND MACHINERY INDONESIA","Staff Pemasaran (Marketing)","Jakarta Barat","Rp.10 – 12 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/brand-marketing/staff-pemasaran-marketing-pt-diamond-machinery-indonesia-jakarta-barat.html,"Posted Date: April 16, 2024"
JASANET,"Sales Admin","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/administrasi-penjualan/sales-admin-jasanet-jakarta-pusat.html,"Posted Date: April 16, 2024"
"PT. SWARNA BAKTI SOLUSINDO","Staff Drafter Engineering","Jakarta Barat","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/teknik/drafter-teknik/staff-drafter-engineering-pt-swarna-bakti-solusindo-jakarta-barat.html,"Posted Date: April 15, 2024"
"Widjaja Sukses Karya","Staff Pemulasaraan","Jakarta Barat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/pekerjaan-umum/staff-pemulasaraan-widjaja-sukses-karya-jakarta-barat.html,"Updated:  April 26, 2024"
"CV. Jaya Komputer Data Recovery Harddisk","Staff Admin","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/e-commerce/staff-admin-cv-jaya-komputer-data-recovery-harddisk-jakarta-barat.html,"Posted Date: April 15, 2024"
"PT SAPUTRA SARAN UTAMA","Staff Pajak","Jakarta Timur","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/perpajakan/staff-pajak-pt-saputra-saran-utama-jakarta-timur.html,"Posted Date: April 15, 2024"
"PT. SWARNA BAKTI SOLUSINDO","Staff Administration","Jakarta Barat","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-administration-pt-swarna-bakti-solusindo-jakarta-barat.html,"Posted Date: April 15, 2024"
KindKain,"Staff Packing Online Shop","Jakarta Utara","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/packing/staff-packing-online-shop-kindkain-jakarta-utara.html,"Posted Date: April 15, 2024"
"PT Citra Tri Kencana","Staff Accounting","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-accounting-pt-citra-tri-kencana-jakarta-barat.html,"Posted Date: April 6, 2024"
"PT Citra Tri Kencana","Multimedia Staff","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/pemasaran/pemasaran-digital/multimedia-staff-pt-citra-tri-kencana-jakarta-barat.html,"Posted Date: April 6, 2024"
"PT Citra Tri Kencana","Staff Administrasi","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-administrasi-pt-citra-tri-kencana-jakarta-barat.html,"Posted Date: April 6, 2024"
"PT. ALDRIVIA CAHAYA SEJAHTERA","Staff Packing","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/transportation-logistics/packing/staff-packing-pt-aldrivia-cahaya-sejahtera-jakarta-utara.html,"Posted Date: April 5, 2024"
"PT DIAMOND MACHINERY INDONESIA","Staff Accounting","Jakarta Barat","Rp.10 – 12 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-accounting-pt-diamond-machinery-indonesia-jakarta-barat.html,"Posted Date: April 4, 2024"
Megatricon,"Staf Admin E-Commerce","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/penjualan/e-commerce/staf-admin-e-commerce-megatricon-jakarta-utara.html,"Updated:  April 26, 2024"
