pt,title,lokasi,gaji,level,pendidikan,tipePekerjaan,url,posteDate
"PT. BANGUN LAKSANA PERSADA","Staff Admin Marketing","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/administrasi-penjualan/staff-admin-marketing-pt-bangun-laksana-persada-jakarta-utara.html,"Posted Date: Maret 26, 2024"
"Glam Hub","Staff Nail Art","Jakarta Barat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/kecantikan/staff-nail-art-glam-hub-jakarta-barat.html,"Posted Date: Maret 25, 2024"
"CV Mascot Laku Prakarsa","Staff Packing","Jakarta Utara","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM",Freelance,https://www.loker.id/transportation-logistics/packing/staff-packing-cv-mascot-laku-prakarsa-jakarta-utara.html,"Posted Date: Maret 25, 2024"
"CV. MAJU JAYA JAKARTA","Staff Admin","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/administrasi-penjualan/staff-admin-cv-maju-jaya-jakarta-jakarta-barat.html,"Posted Date: Maret 21, 2024"
"PT. Pasific Harapan Bahagia","Staff Admin Pembelian","Jakarta Utara","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/administrasi/staf-admin/staff-admin-pembelian-pt-pasific-harapan-bahagia-jakarta-utara.html,"Posted Date: Maret 21, 2024"
"PT. HAMPARAN DAYA CIPTA INFINITY","Staff Accounting","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-accounting-pt-hamparan-daya-cipta-infinity-jakarta-barat.html,"Posted Date: Maret 21, 2024"
"PT Jasamas Prima Caraka","Staff Admin","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-admin-pt-jasamas-prima-caraka-jakarta-pusat.html,"Posted Date: Maret 21, 2024"
"PT Sukses Kencana Lancar","Staff Marketing","Jakarta Timur","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/pemasaran/komunikasi-pemasaran/staff-marketing-pt-sukses-kencana-lancar-jakarta-timur.html,"Posted Date: Maret 20, 2024"
"SURYA WAHANA","Online Shop Marketing","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/penjualan/e-commerce/online-shop-marketing-surya-wahana-jakarta-utara.html,"Posted Date: Maret 20, 2024"
"PT MEIJING TRADING INDONESIA","Staff Packing","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/packing/staff-packing-pt-meijing-trading-indonesia-jakarta-barat.html,"Posted Date: Maret 20, 2024"
"PT. PARAMITA LESTARI","Staff Administrasi","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/staff-administrasi-pt-paramita-lestari-jakarta-barat.html,"Updated:  Maret 20, 2024"
"Mitrasindo Printing","Staff Administrasi","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-administrasi-mitrasindo-printing-jakarta-utara.html,"Posted Date: Maret 19, 2024"
"PT. Sawangdus Raja Makmur","Staff Graphic Design","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/desain-arsitektur/grafis/staff-graphic-design-pt-sawangdus-raja-makmur-jakarta-utara.html,"Posted Date: Maret 18, 2024"
"Graha Irass Interior","Junior Interior Designer","Jakarta Barat","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/desain-arsitektur/interior/junior-interior-designer-graha-irass-interior-jakarta-barat.html,"Posted Date: Maret 17, 2024"
"PT.GRACE EXPRESS INDONESIA","Office Girl","Jakarta Selatan","Rp.4 – 5 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/pekerjaan-umum/office-boy-girl/office-girl-pt-grace-express-indonesia-jakarta-selatan.html,"Posted Date: Maret 15, 2024"
"DIAMOND SUPERMARKET",Waiters,"Jakarta Selatan","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/restaurant/waitress/waiters-diamond-supermarket-jakarta-selatan.html,"Posted Date: Maret 13, 2024"
"Lungguh jaya raharja","Staff IT Support","Jakarta Selatan","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/information-technology/help-desk-it-support/staff-it-support-lungguh-jaya-raharja-jakarta-selatan.html,"Posted Date: Maret 13, 2024"
"Ramen & Sushi YO","Koki/Juru Masak","Jakarta Selatan",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/restaurant/koki/koki-juru-masak-ramen-sushi-yo-jakarta-selatan.html,"Posted Date: Maret 13, 2024"
"DIAMOND SUPERMARKET",Kasir,"Jakarta Selatan","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/ritel/asisten-ritel/kasir-diamond-supermarket-jakarta-selatan.html,"Posted Date: Maret 13, 2024"
"PT Kebut Buana Transport","Staff Administrasi Keuangan","Jakarta Utara","Rp.6 – 7 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-administrasi-keuangan-pt-kebut-buana-transport-jakarta-utara.html,"Posted Date: Maret 8, 2024"
"PT GLOBAL GREEN INTERNATIONAL","Digital Sales","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/pemasaran-digital/digital-sales-pt-global-green-international-jakarta-pusat-3.html,"Posted Date: Maret 8, 2024"
"PT Mega Medica Pharmaceuticals","Staff Administrasi","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-administrasi-pt-mega-medica-pharmaceuticals-jakarta-barat-2.html,"Posted Date: Maret 7, 2024"
"PT Danatek Indera Indonesia","Accounting Staff","Jakarta Pusat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/accounting-staff-pt-danatek-indera-indonesia-jakarta-pusat.html,"Updated:  Maret 13, 2024"
"PT NASA MEDIA PRATAMA","Staff Admin","Jakarta Timur","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-admin-pt-nasa-media-pratama-jakarta-timur.html,"Posted Date: Maret 6, 2024"
"PT. HAMPARAN DAYA CIPTA INFINITY","Administrasi Marketing","Jakarta Barat","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/administrasi-penjualan/administrasi-marketing-pt-hamparan-daya-cipta-infinity-jakarta-barat.html,"Posted Date: Maret 5, 2024"
"Mitrasindo Printing","Staff Accounting","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-accounting-mitrasindo-printing-jakarta-utara.html,"Posted Date: Februari 29, 2024"
"CV Rodjo Adi Jaya","Pastry Chef","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/restaurant/pastry/pastry-chef-cv-rodjo-adi-jaya-jakarta-barat.html,"Posted Date: Februari 29, 2024"
"PT SUKSES BERSAMA OTOPART","Staff Packing","Jakarta Barat","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/packing/staff-packing-pt-sukses-bersama-otopart-jakarta-barat.html,"Posted Date: Februari 28, 2024"
"PT SUKSES BERSAMA OTOPART","Staff Admin Gudang","Jakarta Barat","Rp.2 – 3 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/staff-admin-gudang-pt-sukses-bersama-otopart-jakarta-barat.html,"Posted Date: Februari 28, 2024"
"Indian Village","Pramuniaga Toko","Jakarta Pusat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/ritel/asisten-ritel/pramuniaga-toko-indian-village-jakarta-pusat.html,"Posted Date: Februari 27, 2024"
"Indian Village","Media Social Staff","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/e-commerce/media-social-staff-indian-village-jakarta-pusat.html,"Posted Date: Februari 27, 2024"
"PT. HAMPARAN DAYA CIPTA INFINITY","Staff Gudang","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/transportation-logistics/warehouse/staff-gudang-pt-hamparan-daya-cipta-infinity-jakarta-barat.html,"Posted Date: Februari 27, 2024"
vamotelli,"Staff Press Sublim","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/pabrik-dan-manufaktur/operator-mesin/staff-press-sublim-vamotelli-jakarta-barat.html,"Posted Date: Februari 26, 2024"
"Supplyin Official","Staff Packing","Jakarta Utara",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/packing/staff-packing-supplyin-official-jakarta-utara.html,"Posted Date: Februari 26, 2024"
"PT SUMBER AGUNG INTERNUSA","Admin Toko","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/administrasi-penjualan/admin-toko-pt-sumber-agung-internusa-jakarta-barat.html,"Posted Date: Februari 24, 2024"
"CV Rodjo Adi Jaya","Floor Staff","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/restaurant/waitress/floor-staff-cv-rodjo-adi-jaya-jakarta-barat.html,"Posted Date: Februari 23, 2024"
"CV Rodjo Adi Jaya","Barista Staff","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/restaurant/barista/barista-staff-cv-rodjo-adi-jaya-jakarta-barat.html,"Posted Date: Februari 23, 2024"
"Pt. GODAYA INDOTAMA PERKASA","Marketing Staff","Jakarta Barat","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/akun-dan-relasi/marketing-staff-pt-godaya-indotama-perkasa-jakarta-barat.html,"Posted Date: Februari 21, 2024"
"Glasshouse Florist","Staff Stocking – Purchasing Florist","Jakarta Selatan","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/pekerjaan-umum/florist/staff-stocking-purchasing-florist-glasshouse-florist-jakarta-selatan.html,"Posted Date: Februari 20, 2024"
"PT. SVL Internasional Indonesia","Staff Digital Marketing","Jakarta Barat","Rp.4 – 5 Juta","Supervisor / Coordinator",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/e-commerce/staff-digital-marketing-pt-svl-internasional-indonesia-jakarta-barat.html,"Posted Date: Februari 17, 2024"
"PT BUMI DAYA PERSADA","Staff Admin","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/property-real-estate/staff-admin-pt-bumi-daya-persada-jakarta-barat.html,"Posted Date: Februari 16, 2024"
"PT BUMI DAYA PERSADA","Staff Accounting","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-accounting-pt-bumi-daya-persada-jakarta-barat.html,"Posted Date: Februari 16, 2024"
"PT. ORED ECOMMERCE INDONESIA","Staff Affiliate Produk.","Jakarta Utara","Rp.2 – 3 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/penjualan/e-commerce/staff-affiliate-produk-pt-ored-ecommerce-indonesia-jakarta-utara.html,"Posted Date: Februari 12, 2024"
"PT PRESISI MAJU BERSAMA","Staff Marketing","Jakarta Barat","Rp.2 – 3 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/pemasaran/komunikasi-pemasaran/staff-marketing-pt-presisi-maju-bersama-jakarta-barat-2.html,"Posted Date: Februari 3, 2024"
"CV Rodjo Adi Jaya","Kitchen Staff","Jakarta Selatan","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/restaurant/helper-kitchen/kitchen-staff-cv-rodjo-adi-jaya-jakarta-selatan.html,"Updated:  Februari 29, 2024"
"PT Gram Indonesia Pratama","Kitchen Staff","Jakarta Selatan","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/restaurant/helper-kitchen/kitchen-staff-pt-gram-indonesia-pratama-jakarta-selatan.html,"Updated:  Maret 19, 2024"
"PT BERKAH MAKMUR WIRAUSAHA","Design Grafis","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/desain-arsitektur/grafis/design-grafis-pt-berkah-makmur-wirausaha-jakarta-pusat.html,"Posted Date: Februari 1, 2024"
"Dance Station","Admin Marketing","Jakarta Utara","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/administrasi-penjualan/admin-marketing-dance-station-jakarta-utara.html,"Posted Date: Januari 25, 2024"
"PT. BOGA SELERA PERDANA",Waitress/Waiter,"Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/restaurant/waitress/waitress-waiter-pt-boga-selera-perdana-jakarta-barat.html,"Posted Date: Januari 23, 2024"
"Bentuk Tekstil","Staff Admin E-Commerce","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/e-commerce/staff-admin-e-commerce-bentuk-tekstil-jakarta-pusat.html,"Updated:  Maret 2, 2024"
"PT. Torio Multi Nasional",Administrasi,"Jakarta Barat","Rp.2 – 3 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/administrasi-pt-torio-multi-nasional-jakarta-barat.html,"Posted Date: Januari 22, 2024"
"PT FANTECH INDONESIA JAYA","Admin Markeplace/ Online Shop","Jakarta Barat","Rp.2 – 3 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/e-commerce/admin-markeplace-online-shop-pt-fantech-indonesia-jaya-jakarta-barat.html,"Updated:  Maret 6, 2024"
"PT. DIVA MITRA SINERGI","Staff Operasional ( Driver Truk CDD )","Jakarta Utara",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/driver/staff-operasional-driver-truk-cdd-pt-diva-mitra-sinergi-jakarta-utara.html,"Updated:  Januari 22, 2024"
"PT. TREX MANAGEMEN INDONESIA","Office Boy","Jakarta Utara","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/pekerjaan-umum/office-boy-girl/office-boy-pt-trex-managemen-indonesia-jakarta-utara.html,"Posted Date: Januari 17, 2024"
"PT. Swaramas - SRS","Staff Workshop","Jakarta Pusat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/pekerjaan-umum/teknisi/staff-workshop-pt-swaramas-srs-jakarta-pusat.html,"Posted Date: Januari 17, 2024"
"PT Gram Indonesia Pratama","Floor Staff","DKI Jakarta","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/restaurant/waitress/floor-staff-pt-gram-indonesia-pratama-dki-jakarta.html,"Posted Date: Januari 16, 2024"
"PT. Royalindo Karya Sejahtera","Staff Kurir Pengiriman & Packing","Jakarta Utara","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/kurir/staff-kurir-pengiriman-packing-pt-royalindo-karya-sejahtera-jakarta-utara.html,"Posted Date: Januari 15, 2024"
"PT. DIVA MITRA SINERGI","Sales Marketing Staff","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/pengembangan-bisnis/sales-marketing-staff-pt-diva-mitra-sinergi-jakarta-utara.html,"Posted Date: Januari 15, 2024"
"PT. Fahreza Duta Perkasa",Driver,"Jakarta Selatan","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/driver/driver-pt-fahreza-duta-perkasa-jakarta-selatan.html,"Posted Date: Januari 11, 2024"
"PT ALFA JAYA JASA","Staff Admin Pajak","Jakarta Barat","Rp.4 – 5 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/akuntansi-keuangan/perpajakan/staff-admin-pajak-pt-alfa-jaya-jasa-jakarta-barat-2.html,"Posted Date: Januari 11, 2024"
"PT. ORED ECOMMERCE INDONESIA","Staff Admin","Jakarta Utara","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/penjualan/e-commerce/staff-admin-pt-ored-ecommerce-indonesia-jakarta-utara.html,"Updated:  Februari 1, 2024"
"PT Gram Indonesia Pratama","Pastry Staff","Jakarta Pusat","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/restaurant/pastry/pastry-staff-pt-gram-indonesia-pratama-jakarta-pusat.html,"Posted Date: Januari 5, 2024"
"PT. SVL Internasional Indonesia","Staff Admin Online","Jakarta Barat","Rp.2 – 3 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/e-commerce/staff-admin-online-pt-svl-internasional-indonesia-jakarta-barat.html,"Updated:  Februari 17, 2024"
"PT. SVL Internasional Indonesia","Staff Packing","Jakarta Barat","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/packing/staff-packing-pt-svl-internasional-indonesia-jakarta-barat.html,"Posted Date: Desember 29, 2023"
"PT. JARINGAN ENERGI NUSANTARA","Staff Accounting Keuangan","Jakarta Selatan","Rp.6 – 7 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-accounting-keuangan-pt-jaringan-energi-nusantara-jakarta-selatan.html,"Posted Date: Desember 15, 2023"
"Indian Village","Admin Marketplace","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/penjualan/e-commerce/admin-marketplace-indian-village-jakarta-pusat.html,"Updated:  Maret 2, 2024"
"KX Baja","Staff Accounting","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-accounting-kx-baja-jakarta-pusat.html,"Updated:  Januari 12, 2024"
"Tripanca Global Karya","Staff Admin Marketing","Jakarta Selatan","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/e-commerce/staff-admin-marketing-tripanca-global-karya-jakarta-selatan.html,"Updated:  Januari 17, 2024"
"PT. Fahreza Duta Perkasa","Staff Admin Proyek","Jakarta Selatan",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-admin-proyek-pt-fahreza-duta-perkasa-jakarta-selatan.html,"Updated:  November 9, 2023"
"PT Aneka Anugrah Abadi","Staff Admin","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-admin-pt-aneka-anugrah-abadi-jakarta-barat.html,"Updated:  Oktober 23, 2023"
ECINOS,"Staff Quality Control","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/pabrik-dan-manufaktur/quality-control-pabrik-dan-manufaktur/staff-quality-control-ecinos-jakarta-utara.html,"Updated:  Maret 4, 2024"
"PT. TREX MANAGEMEN INDONESIA","Customer Service","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/customer-care/customer-service/customer-service-pt-trex-managemen-indonesia-jakarta-utara-2.html,"Updated:  Maret 4, 2024"
"PT. Surga Mobil Indonesia","Staff Maintenance","Jakarta Timur",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/teknik/mesin/staff-maintenance-pt-surga-mobil-indonesia-jakarta-timur.html,"Updated:  Maret 4, 2024"
